"","bin2","VLF","VUF"
"1","(10,12]",0.625,0.444444444444444
"2","(12,14]",0,0.909090909090909
"3","(14,16]",0.571428571428571,1
"4","(16,18]",0.625,1
"5","(18,20]",1,0.833333333333333
"6","(20,22]",0.909090909090909,0.75
"7","(22,24]",0.888888888888889,0.875
"8","(24,26]",1,1
"9","(26,28]",1,1
"10","(28,30]",1,1
"11","(30,32]",1,1
"12","(32,34]",1,1
"13","(34,36]",1,0.833333333333333
"14","(36,38]",1,1
"15","(38,40]",1,NA
"16","(40,42]",1,1
"17","(44,46]",NA,1
"18","(46,48]",NA,1
"19","(52,54]",NA,1
"20","(6,8]",NA,0.75
"21","(8,10]",NA,0.428571428571429
